编号,产品名称,规格 (kg),调价后单价 (元 /kg)
6810,PE 烟熏木皮清漆,20,24.64
—,PE 清面漆,20,39.20
—,PE 清面漆专用水,15,14.33
1870R,PU 透明封闭底漆,20,18.48
8022A,PU 耐黄透明底漆,20,17.69
303H,PU 耐黄底漆硬化剂,20,36.96
6821T,PE 白底漆,30,15.45
108A,PE 香蕉水,20,16.24
1870B,PU 透明底漆,20,17.36
3721,PU 白底漆,25,18.48
308,PU 底漆固化剂,10,29.12
6822B,PE 透明底漆,20,20.16
6822A,PE 高清透明底漆（无粉）,20,22.40
999,PU 稀释剂,15,16.24
3706B,PU 高清特级高光透明面漆,20,31.36
3706-60F,PU 哑光清面漆（四分光）,20,31.36
306B,PU 亮光固化剂,10,35.84
3706H,PU 高清亮光透明面漆,18,39.20
394H,PU 耐黄亮光固化剂,10,41.44
306H,PU 高清亮光固化剂,10,29.12
3100H,PU 面漆稀释剂,15,14.33
—,色精,4,56.00
—,洗枪水,15,11.20
—,慢干水,15,19.04
200,NC 透明腻子,25,16.80
