编号,产品名称,规格 (kg),调价后单价 (元 /kg)
6821A,PE 白底漆,30,14.56
108B,PE 天那水,15,12.32
3706B,PU 亮光透明面漆,18,21.28
3706-100F,PU 哑光透明面漆,18,23.52
—,PU 天那水,15,12.88
—,PU 底漆硬化剂,10,28.00
303,PU 哑光硬化剂,10,29.12
3707FT-1,PU 哑光白面漆,20,24.64
3707R,PU 亮光白面漆,20,24.64
—,PU 色漆,20,30.24
—,防白水,15,16.80
—,洗枪水,14,12.32
8706-80F,PU 耐黄哑光透明面漆 80F,18,23.52
109,PU 底天那水,15,12.88
3100P,PU 面天那水,15,14.56
4188,PU 哑白硬化剂,10,30.24
3707P,PU 钢琴亮光白面漆,20,30.24
306B,PU 钢琴漆亮光硬化剂,10,31.36
3708,PU 钢琴亮光黑面漆,20,28.00
—,快干剂,4,30.24
1870R,PU 特清透明底漆,18,16.80
308R,PU 特清底漆硬化剂,10,31.36
—,NC 哑光黑面漆,20,30.24
2006-100F,NC 全哑透明面漆,20,24.64
—,NC 香蕉水,15,13.44
—,慢干水,15,16.80
—,松香水,13,16.80
—,色浆,4,47.04
—,砂面漆,4,31.36
—,色精,4,67.20
—,金色漆,4,67.20
